product,series_id,speed_rpm,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,raw_low_band_dbfs,local_background_est_dba,exhaust_ratio_db,wav
东德基准,DD_BASE_260707_700,700,41,50.06,73.7509965512756,70.2303209156895,74.05495748378951,-43.15923631893167,62.35419797124764,19.904341042724756,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,42,51.3,72.1198343088491,69.1213830741459,72.55559731723983,-44.65859648548134,62.35419797124764,17.01737843941902,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,43,52.96,77.42330498381554,73.32331708315515,77.49666712799431,-39.717526674726855,59.736914739394386,12.654266551707536,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,44,54.24,74.06912866254132,70.87075897367541,74.22640926214116,-42.98778454058001,59.736914739394386,18.468295304656575,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,45,55.6,69.26774967788334,57.91147051166219,70.13090842384793,-47.08328537887324,62.68953836086324,24.999709161268544,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,46,55.9,76.69548121510815,71.50305711435792,76.86696414321514,-40.347229659506034,62.7458705962289,15.664492042450064,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,47,57.18,72.92175457661168,71.14475319992437,73.31998308710666,-43.8942107156145,62.7458705962289,19.180120032689075,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,48,58.24,68.52603445344033,54.52102663742959,70.01976551488072,-47.19442828784045,64.65916660582849,23.89195620114251,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,49,58.58,85.51378475750508,84.36229960329544,85.55533040210285,-31.65886340061832,65.34198604274772,9.000113089184918,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,50,59.78,72.41898285225201,69.50780703897506,73.31026894832125,-43.90392485439992,65.9945728999396,20.14296879047458,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,51,60.88,69.86520409149685,54.151841804782386,70.86246401955577,-46.35172978316539,63.98361203840964,26.821088722562106,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,52,61.3,80.07250339573562,78.31158552720125,80.17258486585916,-37.041608936862,63.74833387680599,18.581011020043768,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
