series_id,date,condition,short_label,speed_rpm,run,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,background_est_dba,exhaust_ratio_db,wav,normalized_thump_peak_db,normalized_event_energy_db
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,49,44.38,84.79362539088005,83.85285669921251,85.06517074691834,72.89068617117827,4.3445838557455545,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,76.33730711165853,75.39653841999099
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,50,45.32,76.39875919094837,62.83128914162299,77.54081992021807,71.18134483783663,11.32185006888615,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,67.94244091172685,54.37497086240147
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,51,45.92,87.7591907712447,84.5219403818069,87.92863225466732,73.75654129651173,1.1423695919605592,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.30287249202318,76.06562210258538
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,52,46.9,85.67959790253963,84.9499940389285,85.96962911621891,74.07202480392667,3.2730925652082874,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.2232796233181,76.49367575970697
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,53,47.54,76.7242555720852,62.78528525800788,77.99268191877937,72.02870322361906,10.935068130496447,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,68.26793729286368,54.32896697878636
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,54,48.54,87.72938337224011,85.31517218546547,87.9142698507551,74.11336295525355,2.272215308064041,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.27306509301859,76.85885390624395
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,55,49.54,83.52443817219185,83.25201030538616,83.994122703248,74.10161618244393,5.624262950265244,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,75.06811989297033,74.79569202616464
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,56,50.3,78.0608115271555,70.89345284519376,79.1305986163371,72.52180985423676,9.7406690199135,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.60449324793397,62.437134565972244
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,57,51.26,89.3462329271519,85.18291134767554,89.46077518216767,73.6154441039059,0.35136851339462893,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,80.88991464793038,76.72659306845402
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,58,52.28,85.48422192411235,84.27898403313688,85.48422192411235,-282.7858061972788,4.390133859996322,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.02790364489083,75.82266575391536
